epoch,loss_total,loss_mse,loss_physics,lambda_phy,grad_norm_mse,grad_norm_phy,rho,rmse_depth,rmse_volume,r2_depth,epoch_time_s
0,0.0012340104405388311,0.0012329347126297271,0.00010757247844497723,0.1,0.0,0.0,0.0,0.03495915234088898,0.035266514867544174,-1.0663249492645264,128.158616065979
1,0.000623686302834872,0.0006223616678125736,1.3246349454123394e-05,0.2,0.0,0.0,0.0,0.02524796687066555,0.024642715230584145,-0.07777893543243408,128.09996938705444
2,0.0005788341666087322,0.0005768153841927415,1.0093909899363395e-05,0.3,0.0,0.0,0.0,0.024087902158498764,0.023945851251482964,0.018986821174621582,128.20089173316956
3,0.0005493332957173569,0.0005472971535632756,6.787139379168695e-06,0.4,0.0,0.0,0.0,0.02331283874809742,0.02347564324736595,0.08110213279724121,128.2879602909088
4,0.0005352409662578931,0.000533145554983859,5.238528636834834e-06,0.5,0.0,0.0,0.0,0.02306247130036354,0.023117385804653168,0.10073322057723999,128.00836753845215
5,0.0005396762834896982,0.0005371185092686778,5.115547530912343e-06,0.6,0.0,0.0,0.0,0.02310226671397686,0.02324913814663887,0.09762704372406006,127.89436745643616
6,0.0005242870814492787,0.0005222502016196216,3.3947990002732366e-06,0.7,0.0,0.0,0.0,0.02266271598637104,0.02304130233824253,0.13163793087005615,127.51936054229736
7,0.0005257531557880733,0.0005232866208059271,3.5236209306921385e-06,0.8,0.0,0.0,0.0,0.02258811891078949,0.02315923385322094,0.13734519481658936,127.08202791213989
8,0.000514156690079519,0.0005114800531149033,3.3457958582742123e-06,0.9,0.0,0.0,0.0,0.022417830303311348,0.02281230129301548,0.15030312538146973,127.0945508480072
9,0.0005000373052731568,0.0004974735331104474,2.848637273340447e-06,1.0,0.0,0.0,0.0,0.022126825526356697,0.022480007261037827,0.17221969366073608,127.0186755657196
10,0.0004970859927901512,0.0004943802713105352,2.7057213038441946e-06,1.0,0.0,0.0,0.0,0.02204638533294201,0.02242136001586914,0.17822736501693726,125.84661412239075
11,0.0004895306670384291,0.0004869993343776544,2.531332177979411e-06,1.0,0.0,0.0,0.0,0.021915089339017868,0.022219980135560036,0.18798619508743286,124.63903260231018
12,0.0004871134059215852,0.00048467858609165416,2.434819684941331e-06,1.0,0.0,0.0,0.0,0.021864835172891617,0.022164978086948395,0.191706120967865,123.21807885169983
13,0.00048164085936143816,0.0004791938415225624,2.4470177320823362e-06,1.0,0.0,0.0,0.0,0.02176693268120289,0.022013366222381592,0.19892829656600952,122.4992823600769
14,0.000480303447764269,0.0004779798465876828,2.3236014006496638e-06,1.0,0.0,0.0,0.0,0.02175014279782772,0.021974781528115273,0.20016372203826904,121.30140590667725
