epoch,loss_total,loss_mse,loss_physics,lambda_phy,grad_norm_mse,grad_norm_phy,rho,rmse_depth,rmse_volume,r2_depth,epoch_time_s
0,0.0009103163189797015,0.0009063507781597334,3.965541641776459e-05,0.7980916731304994,0.1855789370922013,0.023252824647963615,0.12529882840864973,0.032647281885147095,0.027328673750162125,-1.1549758911132812,408.2938756942749
1,0.0004803044235372366,0.00047522760467944426,6.361197800993887e-06,5.0,0.08856851338421091,0.008292510014068546,0.09362818411339632,0.022380344569683075,0.021203191950917244,-0.012702345848083496,409.406569480896
2,0.0004989504306178316,0.0004696596069335688,5.858164865169442e-06,5.0,0.0635500084802631,0.005824012940561249,0.09164455148616564,0.022166987881064415,0.021164685487747192,0.006514310836791992,407.5309271812439
3,0.00046110272833549534,0.0004438033461960707,3.459876369986409e-06,5.0,0.03980800946268772,0.002949020154259268,0.07408105688411354,0.021401917561888695,0.02072593942284584,0.07390886545181274,407.2459394931793
4,0.00045460934335197735,0.0004401766096297824,2.886546785740954e-06,5.0,0.03051113290678602,0.0020777626059606037,0.06809848494723171,0.021337706595659256,0.02061687409877777,0.07945758104324341,405.6010317802429
5,0.00044183059536060033,0.0004300778420274807,2.3505506110947873e-06,5.0,0.02351803027929924,0.0014386963565776246,0.06117415989987806,0.02095762826502323,0.020516663789749146,0.11195987462997437,404.37596464157104
6,0.0004320796688067283,0.0004216989444567196,2.0761449836856665e-06,5.0,0.01924793113617657,0.001087967193211597,0.05652382171757367,0.020885014906525612,0.020179547369480133,0.11810296773910522,403.6587002277374
7,0.0004309258923585955,0.00042157568358759917,1.8700417576095025e-06,5.0,0.016510783502134422,0.0009032043625642925,0.05470387370828248,0.020802510902285576,0.020258503034710884,0.12505680322647095,401.5369682312012
8,0.0004259792078398274,0.00041681316533531237,1.8332085261847837e-06,5.0,0.014673139733152539,0.0007223432628345496,0.04922891648835873,0.020690472796559334,0.020137792453169823,0.13445597887039185,400.01659059524536
9,0.0004190921092485801,0.00041120922920047864,1.576576091994217e-06,5.0,0.014007506444112326,0.0006099784581307166,0.043546510230020416,0.020540639758110046,0.02001251094043255,0.14694660902023315,398.73895049095154
10,0.00041625469002236495,0.0004084369853781364,1.5635408996980013e-06,5.0,0.01334271719985857,0.000589712400992652,0.044197291315294436,0.020489763468503952,0.019925953820347786,0.1511671543121338,394.0287973880768
11,0.00041289418046297423,0.0004049908313435829,1.58066984115903e-06,5.0,0.012503461192034632,0.0005465230050973874,0.04370970242611918,0.020442893728613853,0.01980075240135193,0.15504604578018188,389.8208017349243
12,0.000410504848582511,0.0004030993437915973,1.481101050188369e-06,5.0,0.011951938726853385,0.0005070742411185493,0.0424260723257008,0.020383639261126518,0.01976628415286541,0.15993732213974,386.07616448402405
13,0.0004059699588782708,0.0003989636981774168,1.4012519672005393e-06,5.0,0.011558340498014009,0.0005200295366432169,0.04499167391857255,0.020291991531848907,0.019651014357805252,0.16747426986694336,383.85466480255127
14,0.0004076084409836333,0.00040026846540125986,1.46799517263773e-06,5.0,0.011321519629470722,0.00048753343144445065,0.04306250545645065,0.02031390741467476,0.019694725051522255,0.16567504405975342,382.84924125671387
